Daftar titik yang dibangkitkan :

(-188.31, 250.03, -386.1, -814.97, -324.82, 823.16, -372.17),
(-683.05, -505.49, 88.29, -839.18, 896.07, -980.68, -655.58),
(-386.82, 909.48, -581.89, 980.04, 272.08, 678.06, -455.35),
(-989.46, 679.09, -333.96, 599.43, 223.2, -994.86, 997.47),
(537.9, -266.72, 218.27, -373.33, 935.18, -682.29, 716.82),
(313.63, 500.36, -457.79, 880.5, -837.49, 656.79, -856.02),
(96.46, 811.78, 215.05, -951.36, -786.07, 724.19, -567.01),
(-384.25, -226.7, 369.09, 706.05, -131.55, -498.64, -793.32),
(-51.37, 707.21, -387.88, -740.18, -806.07, -968.44, -302.16),
(211.32, -101.87, 324.66, 503.31, -242.81, -786.81, 349.83),
(-582.06, 175.12, -463.43, -721.26, 608.84, 372.46, 285.04),
(427.21, -587.44, -188.98, 677.64, 918.23, -12.61, -182.1),
(491.82, -133.07, -435.57, -6.03, -159.54, -209.98, 390.76),
(-928.5, -773.32, -462.87, 229.75, 407.96, -864.02, 708.48),
(605.83, 295.81, 863.38, -234.53, -407.33, 143.98, -890.29),
(-170.95, 610.06, -395.74, 696.99, -790.67, 321.91, 660.26),
(47.89, 566.82, -831.0, -806.08, -957.0, 683.56, -107.08),
(-719.31, -441.78, 440.98, -645.98, -8.33, 551.82, -839.2),
(476.58, 868.11, 44.59, 511.33, -162.33, 335.45, 671.87),
(-889.38, 145.89, -607.7, -441.25, -728.32, 265.9, -14.05),
(-76.33, -680.37, -861.76, -349.66, -691.4, -778.48, 595.27),
(-905.19, 42.4, 675.7, -156.56, -216.93, -401.72, -499.29),
(-104.73, 132.41, -309.94, -144.65, 770.32, 993.38, 349.32),
(482.56, -892.55, -368.09, -4.98, 242.79, -687.92, -431.41),
(-478.68, -884.39, -478.61, 959.48, 571.19, 544.13, 400.79),
(-13.78, -28.09, -397.16, 159.7, 178.36, 125.01, -511.88),
(130.23, 517.63, -668.89, 184.09, 518.27, 522.77, -338.68),
(282.11, -334.63, 535.29, 293.07, -517.91, -417.7, -52.3),
(-398.84, -129.46, -23.69, 817.71, 10.54, -92.46, -269.12),
(-201.8, -333.34, 365.49, -449.73, 850.1, 155.99, 591.32),
(-49.81, 295.84, -472.98, -22.98, -142.66, 716.12, -856.54),
(796.91, 772.77, -392.56, 280.05, 565.43, -238.71, -875.76),
(366.92, 513.92, -867.0, -622.54, 271.13, 169.53, -915.53),
(-246.0, -458.59, -982.78, 269.37, 734.66, -270.8, 913.31),
(-206.72, -436.74, -528.66, 573.2, 457.45, 34.91, 714.82),
(-264.2, 215.6, 835.75, 875.82, 642.58, 680.41, 42.94),
(272.65, 370.98, 148.09, 650.92, -231.81, -276.84, 918.2),
(-299.63, 469.45, 612.13, -267.47, -153.36, -530.73, 51.68),
(-3.91, 11.23, 930.4, -279.93, -890.71, -494.38, 147.03),
(-578.38, -709.38, -950.6, -17.49, -949.54, -520.22, 888.55),
(476.73, -605.03, 119.59, 554.66, -667.79, 9.45, 410.79),
(-475.69, -558.18, -538.42, 615.4, 682.6, 809.82, -791.37),
(568.93, -246.51, -117.57, -864.03, -620.89, -195.0, -224.28),
(-113.84, 357.67, -374.18, -528.77, -471.13, 882.08, -323.4),
(968.39, -843.7, 451.86, -253.92, 402.24, -111.39, 532.96),
(-77.39, 635.38, -799.11, -109.03, 355.5, -617.92, 87.93),
(-929.0, -509.34, -506.0, 877.47, 411.9, -786.44, 759.03),
(851.8, -30.54, -619.97, 152.04, -402.0, 69.75, 392.52),
(887.67, 61.38, -122.16, 255.81, -877.0, 65.0, 202.08),
(461.78, 533.16, 372.53, 436.29, -214.67, -510.85, -978.81),
(975.57, -660.88, -359.15, -604.68, -450.49, 973.0, 349.41),
(-165.96, 390.47, 396.8, 711.26, -158.54, 378.26, 103.91),
(-877.65, 561.89, -737.15, -228.99, -762.36, 736.45, -928.26),
(455.82, 890.76, -391.76, 516.25, -802.07, -227.8, -797.79),
(-845.9, 476.98, 446.89, -800.48, 306.08, -285.03, -780.8),
(517.08, -661.53, 175.7, -711.14, 341.57, 75.62, 298.0),
(-291.37, -379.2, 480.56, 281.1, -401.99, 506.33, 474.22),
(-921.21, -701.26, -888.37, -29.71, 579.33, 7.77, 539.98),
(-685.33, 404.18, 807.77, 982.94, 277.29, -808.71, 741.53),
(-262.79, -499.18, 986.42, 935.83, -519.24, 930.92, 609.23),
(-961.09, -976.71, 58.33, -537.58, 129.09, 847.41, -754.53),
(626.37, -66.64, 133.31, -804.46, -773.6, -952.24, -895.08),
(-474.94, 484.26, -376.63, 969.57, -593.36, 353.68, 803.35),
(-230.55, 120.33, -617.2, -974.61, -786.64, 511.0, 831.35),
(-12.98, 711.33, 187.95, -824.54, -303.35, 754.1, -213.88),
(815.91, 798.98, 269.64, -323.12, -512.91, -741.47, -644.82),
(981.53, -274.35, 670.12, -272.89, -851.06, -673.09, -917.46),
(813.86, 238.92, -732.16, -502.11, 572.09, 215.76, 195.81),
(79.12, 503.23, -986.66, 149.76, -142.94, -31.5, 486.77),
(132.16, 936.98, 437.51, -421.64, -855.87, 404.5, 125.26),
(-824.95, -849.72, -833.89, -919.09, -630.91, -908.85, -739.88),
(925.59, -380.65, -588.46, -875.91, -972.22, 751.22, -836.23),
(-867.73, 653.53, 906.57, 567.75, 5.48, -461.2, 499.67),
(-387.73, -472.35, 736.84, -750.1, -853.03, -869.18, -149.17),
(-833.9, -599.27, 737.53, 171.96, -56.42, -522.7, -180.7),
(-672.59, -130.15, 691.8, -537.61, -130.51, -396.12, -985.51),
(782.7, -342.26, 8.51, 766.39, 839.74, -571.37, -993.77),
