Daftar titik yang dibangkitkan :

(-573.65, -115.01, -480.35),
(939.63, 113.29, -937.37),
(-477.89, 277.47, -932.91),
(-905.68, -929.65, -293.96),
(137.33, 393.18, -141.14),
(-826.64, 775.91, 32.52),
(922.71, 858.02, -767.63),
(-190.38, 5.16, -214.7),
(-370.3, -311.81, 287.02),
(419.08, -353.39, -398.0),
(160.44, -153.4, 636.86),
(181.4, 65.59, -670.05),
(-436.93, -971.26, -367.8),
(354.47, -652.92, -999.31),
(-232.56, 967.93, 977.99),
(223.34, 576.13, 592.47),
(934.49, 914.55, 544.97),
(-236.6, 291.23, -935.34),
(-962.27, -860.91, -619.48),
(-939.73, -173.45, -296.74),
(-428.52, 981.25, -698.02),
(640.32, 369.54, 644.77),
(292.42, -655.6, 318.0),
(-785.22, 940.59, 684.45),
(542.85, 838.77, -181.9),
(-613.23, 813.19, 137.59),
(744.94, -34.76, 542.46),
(-792.26, -360.26, 322.19),
(809.12, -385.77, 78.0),
(-995.5, -599.73, 595.48),
(-533.73, -593.04, -473.31),
(-503.56, 514.92, 999.26),
(-883.0, -97.36, -887.54),
(548.93, -274.97, -255.89),
(-757.09, -677.58, 277.58),
(-699.63, 201.15, -901.05),
(408.38, -93.18, -968.99),
(-825.41, -186.54, -858.36),
(506.19, -532.22, -176.86),
(-228.4, -938.29, -600.84),
(328.12, -992.12, 773.6),
(842.71, 479.44, 746.12),
(-634.94, -361.37, 463.83),
(988.29, 901.09, 95.17),
(960.96, -153.01, 754.24),
(-880.28, -189.82, -477.95),
(-162.94, 207.48, 885.56),
(-291.66, 267.71, 912.89),
(690.86, 353.56, -269.73),
(607.28, 419.6, -996.99),
(-881.47, 994.1, -313.5),
(-281.03, -672.43, 84.99),
(-67.99, 535.64, 90.83),
(653.13, 8.93, -142.09),
(-233.75, -846.85, 373.62),
(-713.24, 871.05, -334.24),
(867.38, -555.61, 22.97),
(-777.95, 953.96, 921.57),
(-723.38, 426.02, 141.09),
(603.69, 105.46, -843.98),
(-519.33, -181.34, 247.1),
(-300.15, -471.46, 881.67),
(105.93, 239.17, -7.95),
(-950.94, -807.14, -606.3),
(-748.03, -172.85, 393.92),
(-757.86, 219.33, -560.21),
(-275.38, -403.88, 734.43),
(799.57, -624.58, -41.83),
(278.4, -139.82, 72.68),
(629.82, -599.78, 238.79),
(-995.83, -583.51, -429.34),
(697.15, -59.33, -138.44),
(885.75, 788.74, 684.4),
(100.83, -788.76, -11.06),
(-587.71, 939.75, 813.09),
(-715.95, -293.47, 527.0),
(376.87, 251.16, -351.31),
(869.53, -640.46, 420.28),
(321.2, -406.77, -822.97),
(335.29, -712.75, -192.59),
(420.02, 512.1, -268.19),
(-36.31, 734.01, 713.09),
(-642.53, 290.7, -59.74),
(231.73, -463.2, 938.55),
(-596.99, 972.46, -629.28),
(708.76, 803.39, 567.41),
(-289.98, 606.89, -571.26),
(165.54, 615.14, -546.32),
(-814.7, 585.93, -876.53),
(-231.44, 174.46, 497.93),
(-48.17, -298.52, 799.63),
(923.69, -52.37, -248.01),
(-244.86, -302.42, 772.34),
(380.19, -71.18, 6.73),
(711.8, 140.7, 42.0),
(-359.2, 508.63, 148.05),
(20.46, -392.19, 649.91),
(814.06, 1.44, 996.48),
(-618.77, 74.0, -160.49),
(302.03, 455.58, -971.16),
(-444.8, -901.74, 647.81),
(507.17, 111.0, 224.81),
(-676.12, -187.16, 781.83),
(908.35, -185.54, -471.0),
(-66.76, 37.57, 819.7),
(532.63, -230.0, -59.51),
(425.08, -879.3, -627.62),
(418.64, -503.41, -441.67),
(57.08, -10.44, 207.23),
(-848.93, 727.93, 65.26),
(-31.45, 946.24, 923.43),
(949.72, 732.43, -758.68),
(-274.24, -298.01, -731.13),
(336.99, 769.73, -80.17),
(-933.86, -671.71, -694.63),
(145.28, 791.04, 471.19),
